title,type,question,A,B,C,D,E,F,G,answer,image
Effect of the catalyst on the rate of reaction / Kesan mangkin terhadap kadar tindak balas,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Presence of catalyst / Kehadiran mangkin,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,,A,experiment_17.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Presence of catalyst / Kehadiran mangkin,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,,B,experiment_17.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Presence of catalyst / Kehadiran mangkin,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,,"C,D,E",experiment_17.png
,radio,Factor that changed / Faktor yang diubah,Presence of catalyst / Kehadiran mangkin,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,,A,experiment_17.png
,radio,Factor that observed / Faktor yang diperhatikan,Presence of catalyst / Kehadiran mangkin,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,,B,experiment_17.png
,radio,Factor that fixed / Faktor yang ditetapkan,Presence of catalyst / Kehadiran mangkin,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,,"C,D,E",experiment_17.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Make sure the presence of catalyst is different / Pastikan kehadiran mangkin adalah berbeza,Measure the time taken to collect 30cm³ of gas by using stopwatch / Mengukur masa yang diambil untuk memgumpul 30cm³ gas dengan jam randik,Use the same volume of hydrochloric solution / Gunakan isi padu larutan hidroklorik yang sama,,,,,A,experiment_17.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Make sure the presence of catalyst is different / Pastikan kehadiran mangkin adalah berbeza,Measure the time taken to collect 30cm³ of gas by using stopwatch / Mengukur masa yang diambil untuk memgumpul 30cm³ gas dengan jam randik,Use the same volume of hydrochloric solution / Gunakan isi padu larutan hidroklorik yang sama,,,,,B,experiment_17.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Make sure the presence of catalyst is different / Pastikan kehadiran mangkin adalah berbeza,Measure the time taken to collect 30cm³ of gas by using stopwatch / Mengukur masa yang diambil untuk memgumpul 30cm³ gas dengan jam randik,Use the same volume of hydrochloric solution / Gunakan isi padu larutan hidroklorik yang sama,,,,,C,experiment_17.png
,radio,Aim / Tujuan 怎么写?,To study the effect of presence of catalyst on the rate of reaction / Untuk mengkaji kesan kehadiran mangkin terhadap kadar tindak balas tumbuhan,What is the effect of  presence of catalyst on the rate of reaction? / Apakah kepekatan suhu bahan tindak balas terhadap kadar tindak balas?,Does the presence of catalyst affect the rate of reaction? / Adakah kehadiran mangkin mempengaruhi kadar tindak balas?,Present of catalyst increase the rate of reaction / Kehadiran mangkin meningkatkan kadar tindak balas,Does present of catalyst increase the rate of reaction? / Adakah kehadiran mangkin meningkatkan kadar tindak balas?,,,A,experiment_17.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of presence of catalyst on the rate of reaction / Untuk mengkaji kesan kehadiran mangkin terhadap kadar tindak balas tumbuhan,What is the effect of  presence of catalyst on the rate of reaction? / Apakah kepekatan suhu bahan tindak balas terhadap kadar tindak balas?,Does the presence of catalyst affect the rate of reaction? / Adakah kehadiran mangkin mempengaruhi kadar tindak balas?,Present of catalyst increase the rate of reaction / Kehadiran mangkin meningkatkan kadar tindak balas,Does present of catalyst increase the rate of reaction? / Adakah kehadiran mangkin meningkatkan kadar tindak balas?,,,"B,C,E",experiment_17.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of presence of catalyst on the rate of reaction / Untuk mengkaji kesan kehadiran mangkin terhadap kadar tindak balas tumbuhan,What is the effect of  presence of catalyst on the rate of reaction? / Apakah kepekatan suhu bahan tindak balas terhadap kadar tindak balas?,Does the presence of catalyst affect the rate of reaction? / Adakah kehadiran mangkin mempengaruhi kadar tindak balas?,Present of catalyst increase the rate of reaction / Kehadiran mangkin meningkatkan kadar tindak balas,Does present of catalyst increase the rate of reaction? / Adakah kehadiran mangkin meningkatkan kadar tindak balas?,,,D,experiment_17.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of presence of catalyst on the rate of reaction / Untuk mengkaji kesan kehadiran mangkin terhadap kadar tindak balas tumbuhan,What is the effect of  presence of catalyst on the rate of reaction? / Apakah kepekatan suhu bahan tindak balas terhadap kadar tindak balas?,Does the presence of catalyst affect the rate of reaction? / Adakah kehadiran mangkin mempengaruhi kadar tindak balas?,Present of catalyst increase the rate of reaction / Kehadiran mangkin meningkatkan kadar tindak balas,Does present of catalyst increase the rate of reaction? / Adakah kehadiran mangkin meningkatkan kadar tindak balas?,The time taken to collect 30cm³ of gas with the present of catalyst is shorter than absent of catalyst / Masa yang diambil untuk mengumpul 30cm³ gas dengan kehadiran mangkin adalah lebih pendek daripada ketiadaan mangkin,,F,experiment_17.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Petri dish / Piring petri,Test tube / Tabung uji,,,A,experiment_17.png
