title,type,question,A,B,C,D,E,answer,image
Human pulse rate based on physical activity  / Kadar denyutan nadi manusia berdasarkan aktiviti fizikal,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,E,
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,B,
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,"A,C,D",
,radio,Factor that changed / Faktor yang diubah,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,E,
,radio,Factor that observed / Faktor yang diperhatikan,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,B,
,radio,Factor that fixed / Faktor yang ditetapkan,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,"A,C,D",
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Make sure the physical activity of student is different / Pastikan aktiviti fizikal murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the gender of student is same / Pastikan jantina murid adalah sama,Make sure the age of student is same / Pastikan umur murid adalah sama,,A,
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Make sure the physical activity of student is different / Pastikan aktiviti fizikal murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the gender of student is same / Pastikan jantina murid adalah sama,Make sure the age of student is same / Pastikan umur murid adalah sama,,B,
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Make sure the physical activity of student is different / Pastikan aktiviti fizikal murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the gender of student is same / Pastikan jantina murid adalah sama,Make sure the age of student is same / Pastikan umur murid adalah sama,,"C,D",
,radio,Aim / Tujuan 怎么写?,To study the effect of physical activity on the human pulse rate / Untuk mengkaji kesan aktiviti fizikal terhadap kadar denyutan nadi,Does the physical activity affect the pulse rate? / Adakah aktiviti fizikal mempengaruhi kadar denyutan nadi?,"The more vigorous the physical activity, the higher the pulse rate / Semakin lasak aktiviti fizikal, semakin tinggi kadar denyutan nadi",Running has higher pulse rate than walking and resting / Berlari mempunyai kadar denyutan nadi yang lebih tinggi berbanding berjalan dan berehat,,A,
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of physical activity on the human pulse rate / Untuk mengkaji kesan aktiviti fizikal terhadap kadar denyutan nadi,Does the physical activity affect the pulse rate? / Adakah aktiviti fizikal mempengaruhi kadar denyutan nadi?,"The more vigorous the physical activity, the higher the pulse rate / Semakin lasak aktiviti fizikal, semakin tinggi kadar denyutan nadi",Running has higher pulse rate than walking and resting / Berlari mempunyai kadar denyutan nadi yang lebih tinggi berbanding berjalan dan berehat,,B,
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of physical activity on the human pulse rate / Untuk mengkaji kesan aktiviti fizikal terhadap kadar denyutan nadi,Does the physical activity affect the pulse rate? / Adakah aktiviti fizikal mempengaruhi kadar denyutan nadi?,"The more vigorous the physical activity, the higher the pulse rate / Semakin lasak aktiviti fizikal, semakin tinggi kadar denyutan nadi",Running has higher pulse rate than walking and resting / Berlari mempunyai kadar denyutan nadi yang lebih tinggi berbanding berjalan dan berehat,,"C,D",
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of physical activity on the human pulse rate / Untuk mengkaji kesan aktiviti fizikal terhadap kadar denyutan nadi,Does the physical activity affect the pulse rate? / Adakah aktiviti fizikal mempengaruhi kadar denyutan nadi?,"The more vigorous the physical activity, the higher the pulse rate / Semakin lasak aktiviti fizikal, semakin tinggi kadar denyutan nadi",Running has higher pulse rate than walking and resting / Berlari mempunyai kadar denyutan nadi yang lebih tinggi berbanding berjalan dan berehat,,D,
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Textbooks / Buku Teks,,A,
