title,type,question,A,B,C,D,E,F,G,answer,image
Effect of macronutrient deficiency on plants / Kesan kekurangan makronutrien kepada tumbuhan,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Type of culture solution / Jenis larutan kultur,Growth of plant / Pertumbuhan tumbuhan,Volume of culture solution / Isi padu larutan kultur,Type of seedling / Jenis anak benih,,,,A,experiment_15.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Type of culture solution / Jenis larutan kultur,Growth of plant / Pertumbuhan tumbuhan,Volume of culture solution / Isi padu larutan kultur,Type of seedling / Jenis anak benih,,,,B,experiment_15.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Type of culture solution / Jenis larutan kultur,Growth of plant / Pertumbuhan tumbuhan,Volume of culture solution / Isi padu larutan kultur,Type of seedling / Jenis anak benih,,,,"C,D",experiment_15.png
,radio,Factor that changed / Faktor yang diubah,Type of culture solution / Jenis larutan kultur,Growth of plant / Pertumbuhan tumbuhan,Volume of culture solution / Isi padu larutan kultur,Type of seedling / Jenis anak benih,,,,A,experiment_15.png
,radio,Factor that observed / Faktor yang diperhatikan,Type of culture solution / Jenis larutan kultur,Growth of plant / Pertumbuhan tumbuhan,Volume of culture solution / Isi padu larutan kultur,Type of seedling / Jenis anak benih,,,,B,experiment_15.png
,radio,Factor that fixed / Faktor yang ditetapkan,Type of culture solution / Jenis larutan kultur,Growth of plant / Pertumbuhan tumbuhan,Volume of culture solution / Isi padu larutan kultur,Type of seedling / Jenis anak benih,,,,"C,D",experiment_15.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different type of culture solution / Gunakan jenis makanan yang berbeza,Observe the condition of plant / Perhatikan keadaan tumbuhan,Use the same volume of culture solution / Gunakan isi padu larutan kultur yang sama,Use the same type of seedling / Gunakan jenis anak benih yang sama,,,,A,experiment_15.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different type of culture solution / Gunakan jenis makanan yang berbeza,Observe the condition of plant / Perhatikan keadaan tumbuhan,Use the same volume of culture solution / Gunakan isi padu larutan kultur yang sama,Use the same type of seedling / Gunakan jenis anak benih yang sama,,,,B,experiment_15.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different type of culture solution / Gunakan jenis makanan yang berbeza,Observe the condition of plant / Perhatikan keadaan tumbuhan,Use the same volume of culture solution / Gunakan isi padu larutan kultur yang sama,Use the same type of seedling / Gunakan jenis anak benih yang sama,,,,"C,D",experiment_15.png
,radio,Aim / Tujuan 怎么写?,To study the effect of type of culture solution on the growth of plant / Untuk mengkaji kesan jenis makanan terhadap pertumbuhan tumbuhan,What is the effect of type of culture solution on the growth of plant? / Apakah kesan jenis makanan terhadap pertumbuhan tumbuhan?,Does the type of culture solution affect the growth of plant? / Adakah jenis makanan mempengaruhi pertumbuhan tumbuhan?,Deficiency of macronutrients stunts the plant growth / Kekurangan makronutrien merencat pertumbuhan tumbuhan,Does plant need macronutrient to grow well? / Adakah tumbuhan memerlukan makronutrien untuk tumbuh dengan baik?,,Plant need macronutrient to grow well / Tumbuhan memerlukan makronutrien untuk tumbuh dengan baik,A,experiment_15.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of type of culture solution on the growth of plant / Untuk mengkaji kesan jenis makanan terhadap pertumbuhan tumbuhan,What is the effect of type of culture solution on the growth of plant? / Apakah kesan jenis makanan terhadap pertumbuhan tumbuhan?,Does the type of culture solution affect the growth of plant? / Adakah jenis makanan mempengaruhi pertumbuhan tumbuhan?,Deficiency of macronutrients stunts the plant growth / Kekurangan makronutrien merencat pertumbuhan tumbuhan,Does plant need macronutrient to grow well? / Adakah tumbuhan memerlukan makronutrien untuk tumbuh dengan baik?,,Plant need macronutrient to grow well / Tumbuhan memerlukan makronutrien untuk tumbuh dengan baik,"B,C,E",experiment_15.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of type of culture solution on the growth of plant / Untuk mengkaji kesan jenis makanan terhadap pertumbuhan tumbuhan,What is the effect of type of culture solution on the growth of plant? / Apakah kesan jenis makanan terhadap pertumbuhan tumbuhan?,Does the type of culture solution affect the growth of plant? / Adakah jenis makanan mempengaruhi pertumbuhan tumbuhan?,Deficiency of macronutrients stunts the plant growth / Kekurangan makronutrien merencat pertumbuhan tumbuhan,Does plant need macronutrient to grow well? / Adakah tumbuhan memerlukan makronutrien untuk tumbuh dengan baik?,,Plant need macronutrient to grow well / Tumbuhan memerlukan makronutrien untuk tumbuh dengan baik,"D,G",experiment_15.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of type of culture solution on the growth of plant / Untuk mengkaji kesan jenis makanan terhadap pertumbuhan tumbuhan,What is the effect of type of culture solution on the growth of plant? / Apakah kesan jenis makanan terhadap pertumbuhan tumbuhan?,Does the type of culture solution affect the growth of plant? / Adakah jenis makanan mempengaruhi pertumbuhan tumbuhan?,Deficiency of macronutrients stunts the plant growth / Kekurangan makronutrien merencat pertumbuhan tumbuhan,Does plant need macronutrient to grow well? / Adakah tumbuhan memerlukan makronutrien untuk tumbuh dengan baik?,Plant grow well in complete culture solution / Tumbuhan tumbuh dengan baik dalam larutan kultur lengkap ,Plant need macronutrient to grow well / Tumbuhan memerlukan makronutrien untuk tumbuh dengan baik,F,experiment_15.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Petri dish / Piring petri,Test tube / Tabung uji,,,E,experiment_15.png
,radio,为什么要包黑纸？,To prevent the growth of algae / Untuk mencegah pertumbuhan alga,To prevent the growth of bacteria / Untuk mencegah pertumbuhan bakteria,To prevent the growth of plant / Untuk mencegah pertumbuhan tumbuhan,To prevent the growth of virus / Untuk mencegah pertumbuhan virus,,,,A,experiment_15.png
