title,type,question,A,B,C,D,E,answer,image
Hardness of alloy vs pure metal / Kekerasan aloi vs logam tulen,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Type of blocks / Jenis bongkah,Diameter of dent / Diameter lekuk,Mass of weight / Jisim pemberat,Height of weight / Ketinggian pemberat,,A,experiment_5.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Type of blocks / Jenis bongkah,Diameter of dent / Diameter lekuk,Mass of weight / Jisim pemberat,Height of weight / Ketinggian pemberat,,B,experiment_5.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Type of blocks / Jenis bongkah,Diameter of dent / Diameter lekuk,Mass of weight / Jisim pemberat,Height of weight / Ketinggian pemberat,,"C,D",experiment_5.png
,radio,Factor that changed / Faktor yang diubah,Type of blocks / Jenis bongkah,Diameter of dent / Diameter lekuk,Mass of weight / Jisim pemberat,Height of weight / Ketinggian pemberat,,A,experiment_5.png
,radio,Factor that observed / Faktor yang diperhatikan,Type of blocks / Jenis bongkah,Diameter of dent / Diameter lekuk,Mass of weight / Jisim pemberat,Height of weight / Ketinggian pemberat,,B,experiment_5.png
,radio,Factor that fixed / Faktor yang ditetapkan,Type of blocks / Jenis bongkah,Diameter of dent / Diameter lekuk,Mass of weight / Jisim pemberat,Height of weight / Ketinggian pemberat,,"C,D",experiment_5.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different type of blocks / Gunakan jenis bongkah yang berbeza,Measure the diameter of dent with metre ruler / Mengukur diameter lekuk dengan menggunakan pembaris meter,Use the same mass of weight / Gunakan jisim pemberat yang sama,Make sure the height of weight is same / Pastikan ketinggian pemberat adalah sama,,A,experiment_5.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different type of blocks / Gunakan jenis bongkah yang berbeza,Measure the diameter of dent with metre ruler / Mengukur diameter lekuk dengan menggunakan pembaris meter,Use the same mass of weight / Gunakan jisim pemberat yang sama,Make sure the height of weight is same / Pastikan ketinggian pemberat adalah sama,,B,experiment_5.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different type of blocks / Gunakan jenis bongkah yang berbeza,Measure the diameter of dent with metre ruler / Mengukur diameter lekuk dengan menggunakan pembaris meter,Use the same mass of weight / Gunakan jisim pemberat yang sama,Make sure the height of weight is same / Pastikan ketinggian pemberat adalah sama,,"C,D",experiment_5.png
,radio,Aim / Tujuan 怎么写?,To study the effect of type of blocks on the diameter of dent / Untuk mengkaji kesan jenis bongkah terhadap diameter lekuk,Does the type of blocks affect the diameter of dent? / Adakah jenis bongkah mempengaruhi diameter lekuk?,Is alloy harder than pure metal? / Ada aloi lebih kuat daripada logam tulen?,Alloy is harder than pure metal / Aloi lebih kuat daripada logam tulen,,A,experiment_5.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of type of blocks on the diameter of dent / Untuk mengkaji kesan jenis bongkah terhadap diameter lekuk,Does the type of blocks affect the diameter of dent? / Adakah jenis bongkah mempengaruhi diameter lekuk?,Is alloy harder than pure metal? / Ada aloi lebih kuat daripada logam tulen?,Alloy is harder than pure metal / Aloi lebih kuat daripada logam tulen,,"B,C",experiment_5.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of type of blocks on the diameter of dent / Untuk mengkaji kesan jenis bongkah terhadap diameter lekuk,Does the type of blocks affect the diameter of dent? / Adakah jenis bongkah mempengaruhi diameter lekuk?,Is alloy harder than pure metal? / Ada aloi lebih kuat daripada logam tulen?,Alloy is harder than pure metal / Aloi lebih kuat daripada logam tulen,,D,experiment_5.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of type of blocks on the diameter of dent / Untuk mengkaji kesan jenis bongkah terhadap diameter lekuk,Does the type of blocks affect the diameter of dent? / Adakah jenis bongkah mempengaruhi diameter lekuk?,Is alloy harder than pure metal? / Ada aloi lebih kuat daripada logam tulen?,Alloy is harder than pure metal / Aloi lebih kuat daripada logam tulen,Diameter of dent for bronze is smaller than copper / Diameter lekuk untuk gangsa lebih kecil daripada kuprum,E,experiment_5.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Textbooks / Buku Teks,,B,experiment_5.png
