title,type,question,A,B,C,D,E,F,G,answer,image
Effect of nutrient on bacteria growth / Kesan nutrien terhadap pertumbuhan bakteria,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Presence of nutrient / Kehadiran nutrien,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,A,experiment_8.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Presence of nutrient / Kehadiran nutrien,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,B,experiment_8.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Presence of nutrient / Kehadiran nutrien,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,"C,D,E,F,G",experiment_8.png
,radio,Factor that changed / Faktor yang diubah,Presence of nutrient / Kehadiran nutrien,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,A,experiment_8.png
,radio,Factor that observed / Faktor yang diperhatikan,Presence of nutrient / Kehadiran nutrien,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,B,experiment_8.png
,radio,Factor that fixed / Faktor yang ditetapkan,Presence of nutrient / Kehadiran nutrien,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,"C,D,E,F,G",experiment_8.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different type of agar / Gunakan jenis agar yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,A,experiment_8.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different type of agar / Gunakan jenis agar yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,B,experiment_8.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different type of agar / Gunakan jenis agar yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,"C,D",experiment_8.png
,radio,Aim / Tujuan 怎么写?,To study the effect of nutrient on growth of bacteria / Untuk mengkaji kesan kehadiran nutrien terhadap pertumbuhan bakteria,What is the effect of presence of nutrient on the growth of bacteria? / Apakah kesan kehadiran nutrien terhadap pertumbuhan bakteria?,Does the presence of nutrient affect the bacteria growth? / Adakah kehadiran nutrien mempengaruhi pertumbuhan bakteria?,Bacteria need nutrient to growth / Bakteria memerlukan nutrien untuk pertumbuhan,,,,A,experiment_8.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of nutrient on growth of bacteria / Untuk mengkaji kesan kehadiran nutrien terhadap pertumbuhan bakteria,What is the effect of presence of nutrient on the growth of bacteria? / Apakah kesan kehadiran nutrien terhadap pertumbuhan bakteria?,Does the presence of nutrient affect the bacteria growth? / Adakah kehadiran nutrien mempengaruhi pertumbuhan bakteria?,Bacteria need nutrient to growth / Bakteria memerlukan nutrien untuk pertumbuhan,,,,"B,C",experiment_8.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of nutrient on growth of bacteria / Untuk mengkaji kesan kehadiran nutrien terhadap pertumbuhan bakteria,What is the effect of presence of nutrient on the growth of bacteria? / Apakah kesan kehadiran nutrien terhadap pertumbuhan bakteria?,Does the presence of nutrient affect the bacteria growth? / Adakah kehadiran nutrien mempengaruhi pertumbuhan bakteria?,Bacteria need nutrient to growth / Bakteria memerlukan nutrien untuk pertumbuhan,,,,D,experiment_8.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of nutrient on growth of bacteria / Untuk mengkaji kesan kehadiran nutrien terhadap pertumbuhan bakteria,What is the effect of presence of nutrient on the growth of bacteria? / Apakah kesan kehadiran nutrien terhadap pertumbuhan bakteria?,Does the presence of nutrient affect the bacteria growth? / Adakah kehadiran nutrien mempengaruhi pertumbuhan bakteria?,Bacteria need nutrient to growth / Bakteria memerlukan nutrien untuk pertumbuhan,Bacteria growth in nutrient agar but not growth in non-nutrient agar / Pertumbuhan bakteria dalam agar nutrien tetapi tiada pertumbuhan bakteria dalam agar tanpa nutrien,,,E,experiment_8.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Petri dish / Piring petri,Test tube / Tabung uji,,,D,experiment_8.png
,radio,为什么 Petri dish / Piring petri 要 倒反放 / inverted / diterbalikkan ？,To prevent the condensation of water / Untuk mengelakkan kondensasi air,To prevent the evaporation of water / Untuk mengelakkan penyejatan air,To prevent the growth of bacteria / Untuk mengelakkan pertumbuhan bakteria,To prevent the growth of algae / Untuk mengelakkan pertumbuhan alga,,,,A,experiment_8.png
