title,type,question,A,B,C,D,E,answer,image
Resistance to corrosive of alloy vs pure metal / Ketahanan kakisan aloi vs logam tulen,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,A,experiment_6.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,B,experiment_6.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,"C,D",experiment_6.png
,radio,Factor that changed / Faktor yang diubah,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,A,experiment_6.png
,radio,Factor that observed / Faktor yang diperhatikan,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,B,experiment_6.png
,radio,Factor that fixed / Faktor yang ditetapkan,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,"C,D",experiment_6.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different type of nails / Gunakan jenis paku yang berbeza,Observe the condition of nail / Memerhatikan keadaan paku,Use the same mass of nails / Gunakan jisim paku yang sama,Use the same volume of water / Gunakan isi padu air yang sama,,A,experiment_6.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different type of nails / Gunakan jenis paku yang berbeza,Observe the condition of nail / Memerhatikan keadaan paku,Use the same mass of nails / Gunakan jisim paku yang sama,Use the same volume of water / Gunakan isi padu air yang sama,,B,experiment_6.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different type of nails / Gunakan jenis paku yang berbeza,Observe the condition of nail / Memerhatikan keadaan paku,Use the same mass of nails / Gunakan jisim paku yang sama,Use the same volume of water / Gunakan isi padu air yang sama,,"C,D",experiment_6.png
,radio,Aim / Tujuan 怎么写?,To study the effect of type of nails on the condition of nails / Untuk mengkaji kesan jenis paku terhadap keadaan paku,Does the type of nails affect the condition of nails? / Adakah jenis paku mempengaruhi keadaan paku?,Is alloy more resistance to corrosive than pure metal? / Ada aloi lebih tahan kakisan daripada logam tulen?,Alloy is more resistance to corrosive than pure metal / Aloi lebih tahan kakisan daripada logam tulen,,A,experiment_6.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of type of nails on the condition of nails / Untuk mengkaji kesan jenis paku terhadap keadaan paku,Does the type of nails affect the condition of nails? / Adakah jenis paku mempengaruhi keadaan paku?,Is alloy more resistance to corrosive than pure metal? / Ada aloi lebih tahan kakisan daripada logam tulen?,Alloy is more resistance to corrosive than pure metal / Aloi lebih tahan kakisan daripada logam tulen,,"B,C",experiment_6.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of type of nails on the condition of nails / Untuk mengkaji kesan jenis paku terhadap keadaan paku,Does the type of nails affect the condition of nails? / Adakah jenis paku mempengaruhi keadaan paku?,Is alloy more resistance to corrosive than pure metal? / Ada aloi lebih tahan kakisan daripada logam tulen?,Alloy is more resistance to corrosive than pure metal / Aloi lebih tahan kakisan daripada logam tulen,,D,experiment_6.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of type of nails on the condition of nails / Untuk mengkaji kesan jenis paku terhadap keadaan paku,Does the type of nails affect the condition of nails? / Adakah jenis paku mempengaruhi keadaan paku?,Is alloy more resistance to corrosive than pure metal? / Ada aloi lebih tahan kakisan daripada logam tulen?,Alloy is more resistance to corrosive than pure metal / Aloi lebih tahan kakisan daripada logam tulen,A brown layer present on iron nail but not on steel nail / Lapisan perang terdapat pada paku besi tetapi tidak pada paku keluli,E,experiment_6.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Textbooks / Buku Teks,Test tube / Tabung uji,E,experiment_6.png
