title,type,question,A,B,C,D,E,F,G,answer,image
Effect of humidity on bacteria growth / Kesan kelembapan terhadap pertumbuhan bakteria,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Humidity / Kelembapan,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Presence of nutrient / Kehadiran nutrien,A,experiment_9.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Humidity / Kelembapan,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Presence of nutrient / Kehadiran nutrien,B,experiment_9.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Humidity / Kelembapan,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Presence of nutrient / Kehadiran nutrien,"C,D,E,F,G",experiment_9.png
,radio,Factor that changed / Faktor yang diubah,Humidity / Kelembapan,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Presence of nutrient / Kehadiran nutrien,A,experiment_9.png
,radio,Factor that observed / Faktor yang diperhatikan,Humidity / Kelembapan,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Presence of nutrient / Kehadiran nutrien,B,experiment_9.png
,radio,Factor that fixed / Faktor yang ditetapkan,Humidity / Kelembapan,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Presence of light / Kehadiran cahaya,Presence of nutrient / Kehadiran nutrien,"C,D,E,F,G",experiment_9.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different humidity of agar / Gunakan kelembapan agar yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,A,experiment_9.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different humidity of agar / Gunakan kelembapan agar yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,B,experiment_9.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different humidity of agar / Gunakan kelembapan agar yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,"C,D",experiment_9.png
,radio,Aim / Tujuan 怎么写?,To study the effect of humidity on growth of bacteria / Untuk mengkaji kesan kelembapan terhadap pertumbuhan bakteria,What is the effect of humidity on the growth of bacteria? / Apakah kesan kelembapan terhadap pertumbuhan bakteria?,Does the humidity affect the bacteria growth? / Adakah kelembapan mempengaruhi pertumbuhan bakteria?,Low humidity retards the growth of bacteria / Kelembapan yang rendah merencatkan pertumbuhan bakteria,,,,A,experiment_9.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of humidity on growth of bacteria / Untuk mengkaji kesan kelembapan terhadap pertumbuhan bakteria,What is the effect of humidity on the growth of bacteria? / Apakah kesan kelembapan terhadap pertumbuhan bakteria?,Does the humidity affect the bacteria growth? / Adakah kelembapan mempengaruhi pertumbuhan bakteria?,Low humidity retards the growth of bacteria / Kelembapan yang rendah merencatkan pertumbuhan bakteria,,,,"B,C",experiment_9.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of humidity on growth of bacteria / Untuk mengkaji kesan kelembapan terhadap pertumbuhan bakteria,What is the effect of humidity on the growth of bacteria? / Apakah kesan kelembapan terhadap pertumbuhan bakteria?,Does the humidity affect the bacteria growth? / Adakah kelembapan mempengaruhi pertumbuhan bakteria?,Low humidity retards the growth of bacteria / Kelembapan yang rendah merencatkan pertumbuhan bakteria,,,,D,experiment_9.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of humidity on growth of bacteria / Untuk mengkaji kesan kelembapan terhadap pertumbuhan bakteria,What is the effect of humidity on the growth of bacteria? / Apakah kesan kelembapan terhadap pertumbuhan bakteria?,Does the humidity affect the bacteria growth? / Adakah kelembapan mempengaruhi pertumbuhan bakteria?,Low humidity retards the growth of bacteria / Kelembapan yang rendah merencatkan pertumbuhan bakteria,Bacteria growth in moist nutrient agar but not growth in dry nutrient agar / Pertumbuhan bakteria dalam agar nutrien yang lembap tetapi tiada pertumbuhan bakteria dalam agar nutrien yang kering,,,E,experiment_9.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Petri dish / Piring petri,Test tube / Tabung uji,,,D,experiment_9.png
,radio,为什么 Petri dish / Piring petri 要 倒反放 / inverted / diterbalikkan ？,To prevent the condensation of water / Untuk mengelakkan kondensasi air,To prevent the evaporation of water / Untuk mengelakkan penyejatan air,To prevent the growth of bacteria / Untuk mengelakkan pertumbuhan bakteria,To prevent the growth of algae / Untuk mengelakkan pertumbuhan alga,,,,A,experiment_9.png
