title,type,question,A,B,C,D,E,F,G,answer,image
Effect of presence of light on bacteria growth / Kesan kehadiran cahaya terhadap pertumbuhan bakteria,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Presence of light / Kehadiran cahaya,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,A,experiment_10.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Presence of light / Kehadiran cahaya,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,B,experiment_10.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Presence of light / Kehadiran cahaya,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,"C,D,E,F,G",experiment_10.png
,radio,Factor that changed / Faktor yang diubah,Presence of light / Kehadiran cahaya,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,A,experiment_10.png
,radio,Factor that observed / Faktor yang diperhatikan,Presence of light / Kehadiran cahaya,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,B,experiment_10.png
,radio,Factor that fixed / Faktor yang ditetapkan,Presence of light / Kehadiran cahaya,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Temperature / Suhu,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,"C,D,E,F,G",experiment_10.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different intensity of light / Gunakan keamatan cahaya yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,A,experiment_10.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different intensity of light / Gunakan keamatan cahaya yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,B,experiment_10.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different intensity of light / Gunakan keamatan cahaya yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,"C,D",experiment_10.png
,radio,Aim / Tujuan 怎么写?,To study the effect of presence of light on growth of bacteria / Untuk mengkaji kesan kehadiran cahaya terhadap pertumbuhan bakteria,What is the effect of presence of light on the growth of bacteria? / Apakah kesan kehadiran cahaya terhadap pertumbuhan bakteria?,Does the presence of light affect the bacteria growth? / Adakah kehadiran cahaya mempengaruhi pertumbuhan bakteria?,Light retards the growth of bacteria / Cahaya merencatkan pertumbuhan bakteria,,,,A,experiment_10.png
