title,type,question,A,B,C,D,E,F,G,answer,image
Effect of pH value on bacteria growth / Kesan nilai pH terhadap pertumbuhan bakteria,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,D,experiment_12.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,B,experiment_12.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,"A,C,E,F,G",experiment_12.png
,radio,Factor that changed / Faktor yang diubah,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,D,experiment_12.png
,radio,Factor that observed / Faktor yang diperhatikan,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,B,experiment_12.png
,radio,Factor that fixed / Faktor yang ditetapkan,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,"A,C,E,F,G",experiment_12.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different pH value / Gunakan nilai pH yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the temperature is same / Pastikan suhu adalah sama,,,,A,experiment_12.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different pH value / Gunakan nilai pH yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the temperature is same / Pastikan suhu adalah sama,,,,B,experiment_12.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different pH value / Gunakan nilai pH yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the temperature is same / Pastikan suhu adalah sama,,,,"C,D",experiment_12.png
,radio,Aim / Tujuan 怎么写?,To study the effect of pH value on growth of bacteria / Untuk mengkaji kesan nilai pH terhadap pertumbuhan bakteria,What is the effect of pH value on the growth of bacteria? / Apakah kesan nilai pH terhadap pertumbuhan bakteria?,Does the pH value affect the bacteria growth? / Adakah nilai pH mempengaruhi pertumbuhan bakteria?,Growth of bacteria is the most at pH 7 / Pertumbuhan bakteria adalah paling pesat pada nilai pH 7,,,,A,experiment_12.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of pH value on growth of bacteria / Untuk mengkaji kesan nilai pH terhadap pertumbuhan bakteria,What is the effect of pH value on the growth of bacteria? / Apakah kesan nilai pH terhadap pertumbuhan bakteria?,Does the pH value affect the bacteria growth? / Adakah nilai pH mempengaruhi pertumbuhan bakteria?,Growth of bacteria is the most at pH 7 / Pertumbuhan bakteria adalah paling pesat pada nilai pH 8,,,,"B,C",experiment_12.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of pH value on growth of bacteria / Untuk mengkaji kesan nilai pH terhadap pertumbuhan bakteria,What is the effect of pH value on the growth of bacteria? / Apakah kesan nilai pH terhadap pertumbuhan bakteria?,Does the pH value affect the bacteria growth? / Adakah nilai pH mempengaruhi pertumbuhan bakteria?,Growth of bacteria is the most at pH 7 / Pertumbuhan bakteria adalah paling pesat pada nilai pH 9,,,,D,experiment_12.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of pH value on growth of bacteria / Untuk mengkaji kesan nilai pH terhadap pertumbuhan bakteria,What is the effect of pH value on the growth of bacteria? / Apakah kesan nilai pH terhadap pertumbuhan bakteria?,Does the pH value affect the bacteria growth? / Adakah nilai pH mempengaruhi pertumbuhan bakteria?,Growth of bacteria is the most at pH 7 / Pertumbuhan bakteria adalah paling pesat pada nilai pH 10,,,,D,experiment_12.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Petri dish / Piring petri,Test tube / Tabung uji,,,D,experiment_12.png
,radio,为什么 Petri dish / Piring petri 要 倒反放 / inverted / diterbalikkan ？,To prevent the condensation of water / Untuk mengelakkan kondensasi air,To prevent the evaporation of water / Untuk mengelakkan penyejatan air,To prevent the growth of bacteria / Untuk mengelakkan pertumbuhan bakteria,To prevent the growth of algae / Untuk mengelakkan pertumbuhan alga,,,,A,experiment_12.png
