title,type,question,A,B,C,D,E,F,G,answer,image
Effect of the size of reactant on the rate of reaction / Kesan saiz bahan tindak balas ke atas kadar tindak balas,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Size of marble / Saiz marmar,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Mass of marble / Jisim marmar,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,A,experiment_17.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Size of marble / Saiz marmar,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Mass of marble / Jisim marmar,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,B,experiment_17.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Size of marble / Saiz marmar,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Mass of marble / Jisim marmar,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,"C,D,E,F",experiment_17.png
,radio,Factor that changed / Faktor yang diubah,Size of marble / Saiz marmar,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Mass of marble / Jisim marmar,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,A,experiment_17.png
,radio,Factor that observed / Faktor yang diperhatikan,Size of marble / Saiz marmar,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Mass of marble / Jisim marmar,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,B,experiment_17.png
,radio,Factor that fixed / Faktor yang ditetapkan,Size of marble / Saiz marmar,Time taken to collect 30cm³ of gas / Masa yang diambil untuk memgumpul 30cm³ gas,Mass of marble / Jisim marmar,Temperature / Suhu,Concentration of hydrochloric acid / Kepekatan asid hidroklorik,Volume of hydrochloric acid / Isip adu asid hidroklorik,,"C,D,E,F",experiment_17.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different size of marble / Gunakan saiz marmar yang berbeza,Measure the time taken to collect 30cm³ of gas  by using stopwatch / Mengukur masa yang diambil untuk memgumpul 30cm³ gas dengan jam randik,Use the same volume of hydrochloric solution / Gunakan isi padu larutan hidroklorik yang sama,Use the same mass of marble  / Gunakan jisim marmar yang sama,,,,A,experiment_17.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different size of marble / Gunakan saiz marmar yang berbeza,Measure the time taken to collect 30cm³ of gas  by using stopwatch / Mengukur masa yang diambil untuk memgumpul 30cm³ gas dengan jam randik,Use the same volume of hydrochloric solution / Gunakan isi padu larutan hidroklorik yang sama,Use the same mass of marble  / Gunakan jisim marmar yang sama,,,,B,experiment_17.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different size of marble / Gunakan saiz marmar yang berbeza,Measure the time taken to collect 30cm³ of gas  by using stopwatch / Mengukur masa yang diambil untuk memgumpul 30cm³ gas dengan jam randik,Use the same volume of hydrochloric solution / Gunakan isi padu larutan hidroklorik yang sama,Use the same mass of marble  / Gunakan jisim marmar yang sama,,,,"C,D",experiment_17.png
,radio,Aim / Tujuan 怎么写?,To study the effect of size of marble on the rate of reaction / Untuk mengkaji kesan kepekatan bahan tindak balas terhadap kadar tindak balas tumbuhan,What is the effect of  size of marble on the rate of reaction? / Apakah kepekatan suhu bahan tindak balas terhadap kadar tindak balas?,Does the size of marble affect the rate of reaction? / Adakah kepekatan bahan tindak balas mempengaruhi kadar tindak balas?,"The smaller the size of reactants, the higher the rate of reaction / Semakin kecil saiz bahan tindak balas, semakin tinggi kadar tindak balas",,,,A,experiment_17.png
